,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
580,--Z4X0SQxBc,290,300, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2974,-20b44QDNAs,140,150, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6448,-5aZHZ-9xyg,370,380, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7234,-6NxXfwuvwI,20,30, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8464,-7cMtsWTtnQ,200,210, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10424,-9df2qdbIJM,0,10, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10755,-9yppEpEnVo,150,160, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22885,-MAMeEiIYOo,420,430, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24384,-Ne51BFpF9M,10,20, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25186,-OSYjJ3Tkqw,500,510, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26008,-PJMZUk0qjs,2,12, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29754,-T8ZBK2m20E,310,320, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
34716,-YKCuLVqIWQ,380,390, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38472,-b6Tl35nYqw,220,230, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49926,-nGysROyDXs,260,270, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54373,-rxWFrTlJEY,450,460, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
55618,-tDd8sdNbck,30,40, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62718,0-fkDb9_MAo,10,20, /m/028ght ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
