,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
1334,-0MnD7jBvkE,0,4, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1532,-0Yynyhm1AY,14,24, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5285,-4R2rold4Bk,11,21, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5777,-4wcaee0iRU,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5851,-5-jLuQ6U_E,19,29, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10186,-9PV1PRniMA,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18258,-HVg-i88xE0,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18927,-IBmfxQrPpk,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20843,-KAhczEW4r8,29,39, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22091,-LPATQoH9Wc,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24073,-NMh4vrEGzg,15,25, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26704,-Q1Fopg1Yic,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
27314,-QczZ6_N4Hw,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28917,-SFUFyX9pD4,14,24, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29238,-S_LPAP-MIg,8,18, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29752,-T8YBJT8vk8,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31345,-Uo9p-Dq1fg,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31492,-UyGm-ZLNr8,4,14, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32557,-W5dkWFkpzU,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
33127,-WgJ-M292Yc,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
33817,-XNqIs43bBw,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
34473,-Y3ceZ9fEOw,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35367,-Z-XLe4cJEM,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
37242,-_qEemBUgUE,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39729,-cPQNskelog,13,23, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39897,-c_DM66McvQ,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40435,-d6yX-TM9Sg,190,200, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40597,-dJ0c0uC-8Y,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41146,-dvG6tD4rbg,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45629,-iflbNOFUlU,4,14, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45794,-irQgYRAFnI,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46602,-jiyGQfbwt0,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50415,-nlq9Dz4NIk,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
53008,-qVTyBdBO8c,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
53184,-qffkib86ZE,7,17, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54602,-sBU-Kjp1ow,10,20, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
55467,-t3ETssuUYQ,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
55922,-tW9QbQnQvE,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
55944,-tXLj0augAU,28,38, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
56995,-udLySPsXMA,18,28, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
57536,-vBVkcJCZ7M,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63350,00JBzHVbRMY,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63361,00JoSP9NAqQ,12,22, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63387,00L_BbR-cWs,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63649,00b2uxCO1o8,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
65133,029lmuh8_4s,30,40, /t/dd00134 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
