,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
7037,-6AOy8GAMpM,60,70, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8250,-7OvXNt9sjE,50,60, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9017,-8CwWdltmxM,30,40, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13386,-CYano2F4Qw,210,220, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15382,-E_kI8jY2_0,30,40, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18406,-HeRZSisQLY,30,40, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22132,-LR6jZzVFHs,50,60, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26722,-Q2luSN2Xj4,490,500, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32847,-WNELSjjnJc,450,460, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
34454,-Y2mUYakV6U,30,40, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35698,-ZJ_0JGR28E,270,280, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
36146,-Zj5r422dHw,20,30, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39663,-cKbOLMm0yo,0,10, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41041,-dnyDT9Fzmg,400,410, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
44477,-hRSfJiYfwY,70,80, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45505,-iY-_JwXe-M,210,220, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50192,-nYp94TX5b0,60,70, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58124,-vn8joTrdlg,500,510, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
64208,01E5U5aYw7o,90,100, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
