,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
2378,-1PkCejU5u8,370,380, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4372,-3UBoojG6S0,200,210, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7054,-6BrbHd7kC8,0,10, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10912,-A7ll0xE5c0,40,50, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13824,-Cz0muXWdeU,310,320, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15462,-Eew_XiQMZ8,110,120, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19095,-IN1SLJCen8,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21888,-LArcPl_CkA,140,150, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22043,-LLYuBc5q9Y,240,250, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23319,-MbWZeWigAY,120,130, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23450,-MksMtwCB0g,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26328,-PdWUY-z4do,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28486,-RpdQIRqbyg,360,370, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29711,-T68pDEMEBE,120,130, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29861,-TFcw00SlLo,110,120, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31302,-Uk5y-Q1xIM,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35189,-Yoq4jc5VTI,210,220, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
37614,-aFZddbn8ow,15,25, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38145,-alCf2Hcmrk,10,20, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38987,-bdjPzWpuW8,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39125,-bmPHZ-XXy0,40,50, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39453,-c7ll0u_AXo,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40474,-dATWebYwzk,50,60, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41089,-dqY8IZV7nM,2,12, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41509,-eJHyXU3uTQ,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42236,-f28P6rIr68,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42503,-fLGdSqgwMc,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43035,-futTInVs0w,560,570, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43147,-g08DFbBlFQ,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46822,-jwwlDUXR1k,0,10, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47683,-kr2fAuZB6A,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49309,-mbeXq6PQ2g,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49495,-moKmjUBmM0,12,22, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49639,-mxMaMJCXL8,180,190, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50755,-o9zRhYAJF4,20,30, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50866,-oJEgAHgq-s,190,200, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
52902,-qO8ydl_iEU,0,3, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58199,-vs0z5HTZMM,30,40, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58638,-wLl2ZEen2Q,110,120, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59620,-xSJH_ltV7w,20,30, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60055,-xsxzlCpmBY,10,20, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
61408,-zHgaC0UxUM,60,70, /m/03qtwd ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
