,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
4023,-348xNtRl18,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4899,-4-QVR0Ymig,9,19, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8160,-7ITb2QLsvg,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9208,-8PwGM13Eqo,7,17, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11594,-AmwF0ozTs4,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12099,-BHAvsj6bzw,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12353,-BXNxWauGhs,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13884,-D1XPDJnPlw,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14666,-DqsVIiB-TU,5,15, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15207,-EOInz9LxrA,28,38, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15241,-EQ-6Ix1vVw,11,21, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15806,-Ezr-1IVfFw,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17483,-GieWb6i-fs,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18005,-HEV_kV--eM,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18260,-HVokTN5Xbo,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18544,-HnhA4dKbGQ,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20755,-K5NbVkcOXc,30,40, /m/07pbtc8 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
