,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
5814,-4yy61BH-O8,0,10, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10700,-9vvYUOEKDA,0,10, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11635,-Ap3jpVdFWU,80,90, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13177,-CKH00MxC8Q,250,260, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23269,-MYgL7-stMw,190,200, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25682,-Oy_wYXdNLM,20,30, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
27839,-R9DAUdTERI,150,160, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28823,-S9xth9xqPU,0,4, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35313,-YwZOeyAQC8,10,20, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35681,-ZIuWJQLPD0,50,60, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35803,-ZPHPSlvaus,40,50, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
37099,-_hyDjUVtgs,280,290, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40410,-d515LJsyrM,30,40, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42799,-fgpijuYZw8,40,50, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43143,-g-vKZfzunc,250,260, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
53944,-rVWVPuzapU,30,40, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58229,-vuG8mxLDfs,160,170, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59237,-x08oTAv1qI,190,200, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59490,-xHSqG40NoM,40,50, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
65072,025wYGIVcgg,10,20, /m/01j3sz ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
