,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
1411,-0Reo6hggFY,30,40, /m/07rkbfh,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3412,-2TBzNIa7Ns,20,30, /m/07rkbfh,/m/09x0r,/t/dd00128 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10235,-9SWdBX3yxs,20,30, /m/07rkbfh,/m/09x0r,/t/dd00126 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10687,-9v9vrARusA,0,9, /m/07rkbfh,/m/09x0r,/t/dd00127 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16769,-FzLC10X1eY,160,170, /m/07rkbfh,/m/09x0r,/t/dd00129 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21144,-KS730_mZpc,200,210, /m/07rkbfh,/m/09x0r,/t/dd00129 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25226,-OVA1X6qUe4,0,10, /m/07rkbfh,/m/09x0r,/t/dd00125 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
33093,-We0t9EfYMM,510,520, /m/07rkbfh,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
34864,-YTyKRx3ooo,550,560, /m/07rkbfh,/m/09x0r,/t/dd00127 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43968,-gum4Ws_OV4,430,440, /m/07rkbfh,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45789,-iqwvVCuVN4,320,330, /m/07rkbfh,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49533,-mrEJLK8e4w,530,540, /m/07rkbfh,/m/09x0r,/t/dd00128 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54437,-s1ErP6FHGg,180,190, /m/07rkbfh,/m/09x0r,/t/dd00126 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
61541,-zPx1xWx7j4,130,140, /m/07rkbfh,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62100,0-0KZXvBnwc,470,480, /m/07rkbfh,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
