,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
106,--5OkAjCI7g,40,50, /m/07sq110,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2609,-1dApgfibc4,0,10, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3900,-2xccMBlXDg,30,40, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5900,-52K8fogeY8,10,20, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8842,-80wFL7oMNg,40,50, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11632,-AoYJNdcBZg,50,60, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12939,-C7-Gfgj8Os,50,60, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14058,-DBhStbZvLQ,140,150, /m/0l14j_,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15007,-EAr9hHE2JQ,60,70, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19182,-IU75Gv5eL0,30,40, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19633,-IwDNqIHaJ8,50,60, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19688,-IzuqDoYB2I,10,20, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19700,-J-oAv0M9VM,0,10, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20793,-K7HWA0TCOA,0,10, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20956,-KGlthS591k,90,100, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21636,-KwY9V7esWY,50,60, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23144,-MQ75RZE-qk,480,490, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24115,-NOuaBHrsms,70,80, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24606,-NsK5cVGBxA,40,50, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25320,-O_b3dsiOgM,200,210, /m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
