,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
175,--AQYzDx57k,0,10, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11354,-AYwFAcUzSo,420,430, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11502,-AhIU7Dnzmg,210,220, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12447,-Bbv1_U0xBY,190,200, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14509,-DgFyFjzBxc,150,160, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16650,-FrxFBIUmos,20,30, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20613,-Jx_QdOJF0Q,30,40, /m/07rgt08,/m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23224,-MVhc_VLXy0,210,220, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28110,-RRJMkzuqlQ,400,410, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31351,-UolgqlTe2I,30,40, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31857,-VKryMKMBtI,30,40, /m/07rgt08,/m/07s04w4 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40495,-dC9BwNjef0,250,260, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41682,-eThijmni8I,50,60, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
44797,-hlEMlNWUPg,30,40, /m/07rgt08,/m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45934,-j0JNQeUZO0,50,60, /m/07rgt08,/m/0ytgt ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
56940,-ua4kmBeRtk,30,40, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62845,0-nJxMuqw3Q,480,490, /m/07rgt08,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
