,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
182,--B7YBAygZU,0,10, /m/03qtwd,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
357,--KYALrhHy4,30,40, /m/03qtwd,/m/04rlf,/m/09x0r,/t/dd00128 ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
432,--PMnfMhn1A,30,40, /m/03qtwd,/t/dd00128 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1251,-0GasiOh-Xg,30,40, /m/03qtwd,/m/06h7j,/m/09x0r,/t/dd00128 ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1558,-0_KbooWzvY,10,20, /m/03qtwd,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2122,-1AFJlxFF5o,30,40, /m/03qtwd,/m/053hz1 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2512,-1XucGQTidc,0,10, /m/03qtwd,/m/053hz1 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2545,-1_OeHlE7DM,310,320, /m/03qtwd,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2681,-1i59xDsdUg,30,40, /m/03qtwd,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2832,-1sKXYLyeNQ,30,40, /m/03qtwd,/m/04rlf,/m/06h7j,/m/09x0r,/t/dd00128 ,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3271,-2KRiZOtNJk,30,40, /m/03qtwd,/m/07qfr4h,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3908,-2y-PbVFvIc,10,20, /m/03qtwd,/m/04rlf ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
