,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
882,--sIMPsphRI,10,20, /m/01j3sz,/m/05tny_,/m/068hy,/m/07rgt08,/m/07s04w4,/m/09x0r,/m/0bt9lr,/m/0jbk ,0,0,0,0.0,0.0,0.0,0.0
4505,-3c6pnDzbt8,0,10, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5551,-4hvX2WDpQ4,30,40, /m/01j3sz,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5799,-4xwnohPCZI,550,560, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6584,-5iktaMzAaA,170,180, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7495,-6edE-cOufc,0,10, /m/01j3sz,/m/02p3nc,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10423,-9dePyMcKUg,10,20, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11213,-AR9XvI-wBI,0,10, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11320,-AXUlQNaJb0,40,50, /m/01j3sz,/m/03qc9zr,/m/07r660_ ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11325,-AXjv1cRfpo,260,270, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14691,-Ds6H5UECSA,30,40, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14811,-DzUDgNOPDw,50,60, /m/01j3sz,/m/07sq110,/m/09x0r,/m/0ytgt ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15569,-Elrv1A-wmM,80,90, /m/01j3sz,/m/02cz_7,/m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16111,-FKKcenrc3M,30,40, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16591,-FoClxkytjM,30,40, /m/01j3sz,/m/09x0r,/m/0y4f8 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16804,-G0Z7d-BI6U,310,320, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17851,-H53wmeBhwE,20,30, /m/01j3sz,/m/07rgt08,/m/07sq110 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18712,-HyUH30KfyE,20,30, /m/01j3sz,/m/07sq110 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19380,-IgmQO_5wGo,170,180, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19689,-J-26OD2Qr0,170,180, /m/01j3sz,/m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21512,-KosQ2rNFoA,110,120, /m/01j3sz,/m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22343,-LcxFpiPde0,220,230, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25048,-OJek7d6ars,410,420, /m/01j3sz,/m/04rlf,/t/dd00126 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25377,-OdhZ2ZgA04,40,50, /m/01j3sz,/m/04rlf,/m/05zppz,/m/07qfr4h,/m/09x0r ,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26503,-Poa-OxOw2Y,20,30, /m/01j3sz,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
27361,-QgDuU3hUYQ,70,80, /m/01j3sz,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
