,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
40,--1l6WGE7AU,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,--6STvL0FXE,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
135,--7UmfOkRbM,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
299,--HuBNHXu9I,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
353,--KR9VeFjSs,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
406,--Nu0Zp5uSA,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
515,--U21ZpqhcI,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
567,--Y72SFAlek,30,40, /m/02qldy,/m/05zppz,/m/09x0r,/m/0brhx ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
629,--bMrwySyI8,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
681,--f4Zx92FcY,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
848,--qEmwsjbkw,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1043,-02YSCOiYzg,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1294,-0JimrDLSD4,30,40, /m/02qldy,/m/05zppz,/m/09x0r,/m/0brhx ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1354,-0NxpZlO348,30,40, /m/01h8n0,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1356,-0O7GsELcIQ,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1382,-0Q2JWjbmLM,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1517,-0Y5M39myZY,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1582,-0b6o6CCL1E,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1627,-0dRRnf4umU,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1951,-1-E--PSOCo,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2037,-14IPlD0M-I,30,40, /m/02qldy,/m/05zppz,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
