,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
1489,-0WVqxsroZU,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2269,-1ImGb1dgSM,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2877,-1vTRuaEqzM,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3064,-26Wgq6bHbQ,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4146,-3Dd1J4gVL0,180,190, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5966,-57uVsOw0FI,12,22, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8861,-81yqGXbbtA,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11474,-AfZEvfXfyE,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12949,-C7WK9_e2_s,9,19, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19704,-J020Y_kpDs,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20266,-JcBwff0m7s,120,130, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21169,-KTkhXyIuns,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22564,-LpSntqDf3M,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23673,-MxrXbyWVjM,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
27494,-QnewFFk1tM,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31424,-Usu4I8WvJo,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32155,-VdmzabsRYI,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
33242,-WnimYavSdk,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
36998,-_bfR5klBgY,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38868,-bWlBtlfGko,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39283,-bx8D7F8vf8,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42172,-eypgOe9lEY,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42419,-fEsAcY-bms,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43962,-guZMB8uK1M,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45588,-icOZyHioUY,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45682,-iicahbo_7g,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46212,-jJd_c7YPTw,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46299,-jQaWURM7Rc,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47221,-kLsXPVnelA,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49482,-mnXyMqSxIg,24,34, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50463,-npmM-xGJpM,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50739,-o8mUSG_Tqw,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51389,-ooB_hwvLyM,80,90, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54648,-sE7aMI7iRg,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54691,-sHHMH9Jdzc,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
55641,-tEcvxtg_0U,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58426,-w7Cl-NObQg,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58642,-wM4HoD64GU,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62064,-zy7VDXxJtE,25,35, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63192,008nTzUEiIs,30,40, /m/04rlf,/m/06bz3 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
