,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
5907,-539StsfSbI,80,90, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6318,-5Sj7EVDce0,30,40, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29923,-TIzY-XcCJ8,570,580, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32562,-W62FZ95BUw,30,40, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
34682,-YI4h25K0Gc,30,40, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35241,-Ys-x44_RW4,200,210, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38174,-anCRnXvjnY,120,130, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39346,-c0P9j5Qcmw,70,80, /m/07s04w4,/m/09x0r,/m/0bt9lr,/m/0jbk ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51858,-pIltppUUkc,30,40, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60012,-xpqqyipOOw,30,40, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60357,-yC5MzMAJfU,450,460, /m/07s04w4,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
