,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
3,---2_BBVHAA,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11,---qub7uxgs,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15,--0B3G_C3qc,10,20, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16,--0CNhurbZE,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17,--0F7kbzAMA,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19,--0MF9K5N30,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28,--0pVlB7mQ8,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29,--0ukMG7yH4,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35,--1Bi_4aXyU,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42,--1nnAww5MY,170,180, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
48,--27rbu__kM,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49,--296-zXH3I,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
52,--2ENPwFQLY,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59,--2shonBZTc,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62,--30J4RIDXs,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63,--32cTwWz9M,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
72,--3SH5_r-BU,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
74,--3T7dwFLjU,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
79,--3mqI-rLFQ,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
82,--44ksVCX4g,130,140, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
84,--4AZakCudI,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
85,--4CM0LIKBA,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
86,--4G-oot8ww,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
87,--4L-eLH27c,30,40, /m/09x0r ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
