,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
5594,-4kna0BxXkU,0,4, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5894,-521k7QnrSk,70,80, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11767,-AxNegC2DMQ,0,10, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17905,-H8UO1_Bbok,10,20, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20200,-JYwmVq7nZk,0,4, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23174,-MSIpMfF_3k,0,7, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
52529,-q0Xb0KR_4w,5,15, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
53567,-r4qnMeCzw4,80,90, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
53740,-rG_HlvG38k,150,160, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59883,-xhlL_Hf6dk,230,240, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63043,00-BEdHvxQ8,0,8, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63669,00d1AgRMHdY,120,130, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
65367,02PIJpwzenc,10,20, /m/07c52 ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
