,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
584,--ZOZtaDqP4,0,10, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1255,-0HCoFwA-ZM,16,26, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1431,-0SUfJHqSyY,0,6, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1434,-0SbLD6Du_o,0,6, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1588,-0bNVGSAVNs,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2046,-1530mrueEY,12,22, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2232,-1Gi8IOmvck,0,6, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3242,-2HxeODYXu4,120,130, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3629,-2hDoZ4yUy0,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3631,-2hND1B8VOU,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4556,-3fZboxjMLc,0,3, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4710,-3pe536PKYw,1,11, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7069,-6Czj-4y4tI,0,5, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7507,-6f_a3I8jmg,0,10, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9239,-8Rn68h3JTs,1,11, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10127,-9LUlDlBcgw,0,4, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10534,-9kZ1VLYu44,0,7, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11749,-Ava4FWZA5c,0,4, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12267,-BSJWeCA3WU,200,210, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12343,-BWqohM1xvI,4,14, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13297,-CS_ekruX5o,0,9, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13352,-CW0JLPKO9Y,0,10, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14307,-DSCJX4aQnE,0,9, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15596,-EnHQdLt74I,6,16, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16498,-FigQJM3NjY,1,11, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
16874,-G4oOO_-pKA,0,4, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17130,-GLW3FhpDDE,1,11, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17697,-GwLh-j73IY,0,6, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18542,-HnaTtvQtf0,6,16, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19862,-JAhPwLXuEE,7,17, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21114,-KPzM0TcwNs,2,12, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22406,-Lh6tRe4BjU,0,6, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22449,-LirmYBDgOs,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22518,-LmvfNclabo,0,7, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23871,-N9rNKofZ3w,0,9, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24923,-OBq0lCZkgo,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25395,-OeYXCPKLFE,0,6, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25505,-Omd-qVb9xk,0,7, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25584,-OsB8uiSQuc,400,410, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26110,-PRjrqQT5Os,0,8, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
27816,-R70UhXtYgU,0,4, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28227,-RYkeIeEA0c,0,5, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28660,-S0DFQV2nmI,13,23, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
33786,-XLYBkPTUM0,140,150, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35145,-YmYwp_OvQw,0,4, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
37568,-aCX7XbKV0g,2,12, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
37862,-aVYCGokd6s,0,10, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38442,-b4Li-_Wg_4,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40752,-dTFwYYTRfs,4,14, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41269,-e2QL522GI0,0,8, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42305,-f79OkMgWI8,0,9, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42931,-fp6oL6S-UE,0,8, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
44352,-hJ6YL6tcOg,2,12, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46963,-k4tX4nRKLc,0,9, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47300,-kQllWmI7Do,0,5, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
48760,-m1EjRZOfL0,0,3, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51523,-oy5RsYIzhs,0,4, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51909,-pLWppt1crI,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
52119,-p_ZPhIH6P0,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
53134,-qcoY3iNFdM,0,5, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
55623,-tDnznLEfJw,1,11, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
57951,-vcQrQ6f1Hs,3,13, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59056,-wokvWyOP6Q,2,12, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59365,-x8_IGhBKY0,2,12, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59798,-xbnvT2THSo,0,5, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59915,-xjnwmlAtl4,0,4, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59975,-xnLAOsLqB0,13,23, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60422,-yGMbuk-2q8,2,12, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60926,-ym-LI6mxsU,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63345,00IxOcf1lW8,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
64031,010jzdztKbc,0,4, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
64589,01bz6pP_lpk,30,40, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
64621,01eOdA30gE4,0,8, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
64941,01ylINxTWKs,0,9, /m/04rlf,/m/07c52 ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
