,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
7037,-6AOy8GAMpM,60,70, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8250,-7OvXNt9sjE,50,60, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9017,-8CwWdltmxM,30,40, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9346,-8YnBKXbV3Q,230,240, /m/01m2v,/m/04rlf ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12882,-C3O23xBX4c,260,270, /m/01m2v,/m/0316dw,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13386,-CYano2F4Qw,210,220, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15382,-E_kI8jY2_0,30,40, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15679,-ErvbxxipEs,120,130, /m/01m2v,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17739,-Gz3fJ1ZDCQ,0,10, /m/01m2v,/m/0316dw,/t/dd00125 ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18406,-HeRZSisQLY,30,40, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22132,-LR6jZzVFHs,50,60, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23859,-N985spfu2I,520,530, /m/01m2v,/m/0316dw,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24690,-NxqVRP5zf8,580,590, /m/01m2v,/m/0316dw,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26722,-Q2luSN2Xj4,490,500, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28764,-S6D9Slv13A,10,20, /m/01m2v,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31725,-VD6if3BpnE,30,40, /m/01m2v,/m/0316dw,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32847,-WNELSjjnJc,450,460, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
34454,-Y2mUYakV6U,30,40, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35698,-ZJ_0JGR28E,270,280, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
36146,-Zj5r422dHw,20,30, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38385,-b1bMK154QU,280,290, /m/01m2v,/m/0316dw,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39663,-cKbOLMm0yo,0,10, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40961,-dhS0qbpMqM,30,40, /m/01m2v,/m/01v1d8,/m/04rlf,/m/04szw ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41041,-dnyDT9Fzmg,400,410, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
44477,-hRSfJiYfwY,70,80, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45505,-iY-_JwXe-M,210,220, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47261,-kOTH6RStSs,20,30, /m/01m2v,/m/09x0r ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50192,-nYp94TX5b0,60,70, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
53782,-rJUnENdfV4,120,130, /m/01m2v,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54454,-s2G3Kto0Gw,30,40, /m/01m2v,/m/0316dw,/m/07qcpgn ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
56360,-txpuYpTUyo,550,560, /m/01m2v,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58027,-vhVgCA1Ae4,50,60, /m/01m2v,/m/0316dw,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58124,-vn8joTrdlg,500,510, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
64208,01E5U5aYw7o,90,100, /m/01m2v,/m/0316dw ,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
