,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
217,--D32FJUFsA,250,260, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1596,-0bjMm1TcEE,110,120, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4228,-3K9y6H3Jos,160,170, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5782,-4wyHre2t2k,110,120, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10543,-9l-036R7ec,40,50, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12141,-BJBJczXk7M,190,200, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15521,-EiPm4qusRc,270,280, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18993,-IGsyG6woCo,30,40, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21466,-Klhn0OiCyQ,200,210, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28829,-SARV7naWIo,140,150, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
34956,-Ya6bWdxTb8,210,220, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35941,-ZY5aMCMTxk,130,140, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46271,-jOST1STKQI,360,370, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54645,-sE3G1LJnoU,60,70, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58123,-vn8Spfif-Y,270,280, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59248,-x0lSdFPa8w,290,300, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60735,-y_iw_jrRik,250,260, /m/02zsn ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
