,vid,start,end,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15
159,--9O4XZOge4,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
975,--yR5KGI8zI,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1342,-0N94QVF92E,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2033,-1426nJE87Y,30,40, /m/02qldy,/m/02zsn,/m/09x0r,/m/0brhx ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2053,-15_ujUhjGs,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2431,-1TZhs31Ra0,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2653,-1gVjWtwVrU,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3017,-247Mdo8nJ8,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3545,-2bEICf2gxU,30,40, /m/02qldy,/m/02zsn,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5128,-4FmIaYgLxY,30,40, /m/02qldy,/m/02zsn,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5329,-4U-8geHG1w,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5470,-4c9EgbBqro,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5555,-4i8PM8TZSU,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5755,-4v5dQcqDJA,30,40, /m/02qldy,/m/02zsn,/m/09x0r,/m/0brhx ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6080,-5EoTUVneQA,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6251,-5ObAgkqicQ,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7138,-6HYeYVRzAY,30,40, /m/02qldy,/m/02zsn,/m/04rlf,/m/09x0r ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8064,-7DYigCiqUk,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8309,-7RyES5gOQA,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8634,-7n2lwXUzvM,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8960,-88W59dB47w,30,40, /m/02qldy,/m/02zsn,/m/09x0r ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
